model,store,product,horizon,smape,mase
ARIMA_FAST,S001,P0001,7,35.2937,0.8413
ARIMA_FAST,S001,P0002,7,29.3493,0.6654
ARIMA_FAST,S001,P0003,7,35.1459,0.7341
ARIMA_FAST,S001,P0004,7,40.3126,0.8044
ARIMA_FAST,S001,P0005,7,34.994,0.6695
ARIMA_FAST,S001,P0006,7,44.1155,0.685
ARIMA_FAST,S001,P0007,7,39.6817,0.7358
ARIMA_FAST,S001,P0008,7,34.471,0.7644
ARIMA_FAST,S001,P0009,7,32.2863,0.8664
ARIMA_FAST,S001,P0010,7,33.6247,0.7275
ARIMA_FAST,S001,P0011,7,38.7427,0.7681
ARIMA_FAST,S001,P0012,7,36.1766,0.6982
ARIMA_FAST,S001,P0013,7,43.2348,0.7899
ARIMA_FAST,S001,P0014,7,36.3608,0.6744
ARIMA_FAST,S001,P0015,7,41.7774,0.7897
ARIMA_FAST,S001,P0016,7,36.9369,0.6054
ARIMA_FAST,S001,P0017,7,41.5495,0.7719
ARIMA_FAST,S001,P0018,7,33.3284,0.7635
ARIMA_FAST,S001,P0019,7,41.1866,0.876
ARIMA_FAST,S001,P0020,7,41.044,0.7152
ARIMA_FAST,S002,P0001,7,41.9476,0.7759
ARIMA_FAST,S002,P0002,7,44.7078,0.7848
ARIMA_FAST,S002,P0003,7,38.2191,0.6594
ARIMA_FAST,S002,P0004,7,32.6253,0.635
ARIMA_FAST,S002,P0005,7,37.3468,0.7827
ARIMA_FAST,S002,P0006,7,29.6251,0.7752
ARIMA_FAST,S002,P0007,7,46.7673,0.8413
ARIMA_FAST,S002,P0008,7,29.2997,0.6356
ARIMA_FAST,S002,P0009,7,37.0998,0.7472
ARIMA_FAST,S002,P0010,7,27.7596,0.6848
ARIMA_FAST,S002,P0011,7,42.7284,0.7267
ARIMA_FAST,S002,P0012,7,34.2791,0.6827
ARIMA_FAST,S002,P0013,7,37.4214,0.6128
ARIMA_FAST,S002,P0014,7,43.15,0.8137
ARIMA_FAST,S002,P0015,7,36.7855,0.7781
ARIMA_FAST,S002,P0016,7,35.0862,0.7696
ARIMA_FAST,S002,P0017,7,49.0982,0.7653
ARIMA_FAST,S002,P0018,7,29.5568,0.7548
ARIMA_FAST,S002,P0019,7,32.839,0.6635
ARIMA_FAST,S002,P0020,7,39.2215,0.7783
ARIMA_FAST,S003,P0001,7,49.7786,0.8871
ARIMA_FAST,S003,P0002,7,40.9838,0.7277
ARIMA_FAST,S003,P0003,7,32.2738,0.7452
