model,store,product,horizon,mase
Chronos-Bolt-Small,S001,P0001,7,0.5955
Chronos-Bolt-Small,S001,P0002,7,0.5892
Chronos-Bolt-Small,S001,P0003,7,0.4135
Chronos-Bolt-Small,S001,P0004,7,0.4359
Chronos-Bolt-Small,S001,P0005,7,0.5889
Chronos-Bolt-Small,S001,P0006,7,0.5069
Chronos-Bolt-Small,S001,P0007,7,1.1844
Chronos-Bolt-Small,S001,P0008,7,0.6015
Chronos-Bolt-Small,S001,P0009,7,0.8137
Chronos-Bolt-Small,S001,P0010,7,0.617
Chronos-Bolt-Small,S001,P0011,7,0.4551
Chronos-Bolt-Small,S001,P0012,7,0.4347
Chronos-Bolt-Small,S001,P0013,7,0.493
Chronos-Bolt-Small,S001,P0014,7,0.5491
Chronos-Bolt-Small,S001,P0015,7,0.7953
Chronos-Bolt-Small,S001,P0016,7,0.5194
Chronos-Bolt-Small,S001,P0017,7,0.4047
Chronos-Bolt-Small,S001,P0018,7,0.651
Chronos-Bolt-Small,S001,P0019,7,1.0188
Chronos-Bolt-Small,S001,P0020,7,0.4566
Chronos-Bolt-Small,S002,P0001,7,0.7496
Chronos-Bolt-Small,S002,P0002,7,0.6229
Chronos-Bolt-Small,S002,P0003,7,0.6858
Chronos-Bolt-Small,S002,P0004,7,0.7071
Chronos-Bolt-Small,S002,P0005,7,0.8428
Chronos-Bolt-Small,S002,P0006,7,0.8466
Chronos-Bolt-Small,S002,P0007,7,1.2721
Chronos-Bolt-Small,S002,P0008,7,0.5436
Chronos-Bolt-Small,S002,P0009,7,0.6623
Chronos-Bolt-Small,S002,P0010,7,0.8236
Chronos-Bolt-Small,S002,P0011,7,0.6877
Chronos-Bolt-Small,S002,P0012,7,0.7293
Chronos-Bolt-Small,S002,P0013,7,0.5231
Chronos-Bolt-Small,S002,P0014,7,1.1648
Chronos-Bolt-Small,S002,P0015,7,0.6376
Chronos-Bolt-Small,S002,P0016,7,0.3866
Chronos-Bolt-Small,S002,P0017,7,1.2268
Chronos-Bolt-Small,S002,P0018,7,0.7403
Chronos-Bolt-Small,S002,P0019,7,0.77
Chronos-Bolt-Small,S002,P0020,7,0.8671
Chronos-Bolt-Small,S003,P0001,7,0.6802
Chronos-Bolt-Small,S003,P0002,7,0.3702
Chronos-Bolt-Small,S003,P0003,7,0.7748
Chronos-Bolt-Small,S003,P0004,7,0.6424
Chronos-Bolt-Small,S003,P0005,7,1.2581
Chronos-Bolt-Small,S003,P0006,7,0.4858
Chronos-Bolt-Small,S003,P0007,7,1.3964
Chronos-Bolt-Small,S003,P0008,7,0.5462
Chronos-Bolt-Small,S003,P0009,7,0.3692
Chronos-Bolt-Small,S003,P0010,7,0.8902
Chronos-Bolt-Small,S003,P0011,7,0.8888
Chronos-Bolt-Small,S003,P0012,7,1.0362
Chronos-Bolt-Small,S003,P0013,7,0.5131
Chronos-Bolt-Small,S003,P0014,7,0.7256
Chronos-Bolt-Small,S003,P0015,7,0.5851
Chronos-Bolt-Small,S003,P0016,7,0.622
Chronos-Bolt-Small,S003,P0017,7,1.2077
Chronos-Bolt-Small,S003,P0018,7,0.8923
Chronos-Bolt-Small,S003,P0019,7,0.7467
Chronos-Bolt-Small,S003,P0020,7,0.4151
Chronos-Bolt-Small,S004,P0001,7,0.6675
Chronos-Bolt-Small,S004,P0002,7,0.6991
Chronos-Bolt-Small,S004,P0003,7,0.547
Chronos-Bolt-Small,S004,P0004,7,0.5867
Chronos-Bolt-Small,S004,P0005,7,0.7606
Chronos-Bolt-Small,S004,P0006,7,0.4582
Chronos-Bolt-Small,S004,P0007,7,0.7517
Chronos-Bolt-Small,S004,P0008,7,0.832
Chronos-Bolt-Small,S004,P0009,7,0.6901
Chronos-Bolt-Small,S004,P0010,7,0.5222
