model,store,product,horizon,smape,mase
ETS,S001,P0001,7,39.2596,0.7952
ETS,S001,P0002,7,30.2981,0.6881
ETS,S001,P0003,7,34.5324,0.678
ETS,S001,P0004,7,49.8249,1.0109
ETS,S001,P0005,7,35.9131,1.0462
ETS,S001,P0006,7,54.6179,1.2611
ETS,S001,P0007,7,43.8247,0.7866
ETS,S001,P0008,7,39.7282,0.8907
ETS,S001,P0009,7,33.8501,1.2054
ETS,S001,P0010,7,39.1739,1.0493
ETS,S001,P0011,7,39.1844,0.7898
ETS,S001,P0012,7,39.4975,0.6311
ETS,S001,P0013,7,40.6875,0.7796
ETS,S001,P0014,7,38.4189,0.8949
ETS,S001,P0015,7,44.6046,0.7389
ETS,S001,P0016,7,39.5459,0.9842
ETS,S001,P0017,7,52.9801,0.7691
ETS,S001,P0018,7,36.7127,1.0931
ETS,S001,P0019,7,46.4967,0.9348
ETS,S001,P0020,7,52.5661,1.0792
ETS,S002,P0001,7,47.8339,0.6908
ETS,S002,P0002,7,48.0475,0.9008
ETS,S002,P0003,7,38.9432,0.8462
ETS,S002,P0004,7,37.5025,0.8485
ETS,S002,P0005,7,38.8484,0.8688
ETS,S002,P0006,7,31.8062,0.8492
ETS,S002,P0007,7,56.3998,1.1166
ETS,S002,P0008,7,31.1675,0.971
ETS,S002,P0009,7,37.8509,0.9358
ETS,S002,P0010,7,28.7929,0.8031
ETS,S002,P0011,7,43.8711,0.5869
ETS,S002,P0012,7,31.9626,0.7016
ETS,S002,P0013,7,40.6723,0.8753
ETS,S002,P0014,7,57.8781,1.0745
ETS,S002,P0015,7,36.5271,0.625
ETS,S002,P0016,7,35.4767,0.7697
ETS,S002,P0017,7,50.8257,0.7337
ETS,S002,P0018,7,33.2985,0.6041
ETS,S002,P0019,7,33.1465,0.5318
ETS,S002,P0020,7,45.9329,1.2261
ETS,S003,P0001,7,58.6034,0.7327
ETS,S003,P0002,7,40.2382,0.991
ETS,S003,P0003,7,38.9348,0.7288
ETS,S003,P0004,7,42.4768,0.7176
ETS,S003,P0005,7,61.0116,0.9105
ETS,S003,P0006,7,45.4775,0.8599
ETS,S003,P0007,7,41.5296,0.8258
ETS,S003,P0008,7,33.0149,0.738
ETS,S003,P0009,7,35.148,0.9905
ETS,S003,P0010,7,32.0415,0.7385
ETS,S003,P0011,7,46.5674,0.8388
ETS,S003,P0012,7,39.1285,0.8347
ETS,S003,P0013,7,37.1779,0.6268
ETS,S003,P0014,7,40.4504,0.778
ETS,S003,P0015,7,41.9869,0.8869
ETS,S003,P0016,7,42.8616,0.8218
ETS,S003,P0017,7,43.6637,0.8001
ETS,S003,P0018,7,46.1714,1.1882
ETS,S003,P0019,7,26.7485,0.8343
ETS,S003,P0020,7,35.0155,0.6241
ETS,S004,P0001,7,40.2809,0.7114
ETS,S004,P0002,7,43.1487,0.8751
ETS,S004,P0003,7,50.4953,1.134
ETS,S004,P0004,7,39.8992,0.9145
ETS,S004,P0005,7,31.317,0.6589
ETS,S004,P0006,7,36.0613,1.0434
ETS,S004,P0007,7,41.6293,0.8639
ETS,S004,P0008,7,46.6277,0.9345
ETS,S004,P0009,7,40.4515,0.8284
ETS,S004,P0010,7,40.8533,0.7166
ETS,S004,P0011,7,36.5859,0.6116
ETS,S004,P0012,7,37.1358,0.7964
ETS,S004,P0013,7,44.9034,1.2351
ETS,S004,P0014,7,41.4905,0.9377
ETS,S004,P0015,7,42.7048,0.7419
ETS,S004,P0016,7,45.9336,1.014
ETS,S004,P0017,7,29.3602,0.7631
ETS,S004,P0018,7,39.8758,0.7589
ETS,S004,P0019,7,27.8374,0.7938
ETS,S004,P0020,7,48.0121,1.3593
ETS,S005,P0001,7,38.7149,0.8923
ETS,S005,P0002,7,38.6556,1.2041
ETS,S005,P0003,7,50.0541,0.9769
ETS,S005,P0004,7,34.951,0.6632
ETS,S005,P0005,7,37.8843,0.8842
ETS,S005,P0006,7,36.5404,0.8886
ETS,S005,P0007,7,37.653,0.8851
ETS,S005,P0008,7,33.2293,0.8363
ETS,S005,P0009,7,41.4934,1.1185
ETS,S005,P0010,7,40.4898,0.7215
ETS,S005,P0011,7,48.3443,0.7579
ETS,S005,P0012,7,45.1678,0.8396
ETS,S005,P0013,7,42.9201,0.8685
ETS,S005,P0014,7,41.8579,0.9229
ETS,S005,P0015,7,36.044,0.9063
ETS,S005,P0016,7,52.8995,0.864
ETS,S005,P0017,7,54.8905,0.8214
ETS,S005,P0018,7,31.9308,0.7231
ETS,S005,P0019,7,44.4358,0.9804
ETS,S005,P0020,7,40.1175,0.7887
ETS,S001,P0001,14,45.2102,0.8295
ETS,S001,P0002,14,30.4236,0.6429
ETS,S001,P0003,14,33.2514,0.5788
ETS,S001,P0004,14,68.7774,1.1948
ETS,S001,P0005,14,35.8761,0.9784
ETS,S001,P0006,14,75.2919,1.299
ETS,S001,P0007,14,44.1607,0.717
ETS,S001,P0008,14,50.1061,0.8938
ETS,S001,P0009,14,36.373,1.1351
ETS,S001,P0010,14,51.0495,0.7697
ETS,S001,P0011,14,47.3471,1.1417
ETS,S001,P0012,14,38.299,0.5963
ETS,S001,P0013,14,47.2162,0.8369
ETS,S001,P0014,14,42.0302,0.8497
ETS,S001,P0015,14,61.1767,1.0321
ETS,S001,P0016,14,43.5452,1.0923
ETS,S001,P0017,14,74.9874,1.0412
ETS,S001,P0018,14,33.6475,0.8717
ETS,S001,P0019,14,66.9516,1.1019
ETS,S001,P0020,14,68.8407,0.8587
ETS,S002,P0001,14,58.7214,0.8582
ETS,S002,P0002,14,46.5362,0.9785
ETS,S002,P0003,14,41.6189,0.7621
ETS,S002,P0004,14,44.937,1.0766
ETS,S002,P0005,14,41.7357,0.7701
ETS,S002,P0006,14,31.006,0.6798
ETS,S002,P0007,14,70.688,1.1183
ETS,S002,P0008,14,35.8983,0.6406
ETS,S002,P0009,14,34.9376,0.7255
ETS,S002,P0010,14,32.5061,1.0142
ETS,S002,P0011,14,44.7963,0.605
ETS,S002,P0012,14,34.2138,0.7458
ETS,S002,P0013,14,44.8127,1.0993
ETS,S002,P0014,14,80.902,1.3954
ETS,S002,P0015,14,36.6493,0.691
ETS,S002,P0016,14,35.6961,0.6655
ETS,S002,P0017,14,64.6666,0.977
ETS,S002,P0018,14,30.5725,0.763
ETS,S002,P0019,14,36.2242,0.6285
ETS,S002,P0020,14,53.9353,0.8508
ETS,S003,P0001,14,72.1557,0.7669
ETS,S003,P0002,14,47.4838,0.793
ETS,S003,P0003,14,39.8797,0.8553
ETS,S003,P0004,14,51.0817,0.9315
ETS,S003,P0005,14,76.9638,1.2851
ETS,S003,P0006,14,64.0882,1.0437
ETS,S003,P0007,14,43.6673,0.9649
ETS,S003,P0008,14,31.32,0.6232
ETS,S003,P0009,14,44.1501,1.2425
