model,dataset,target,horizon,store,product,lookback,units1,dropout,lr,batch,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0001,30,16,0.3,0.001,32,sigmoid,34.65832,0.83766747,38.08696746826172,0.4600130319595337
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0002,30,16,0.3,0.001,32,sigmoid,29.266531,0.643689,34.233299255371094,0.42993858456611633
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0003,30,16,0.3,0.001,32,sigmoid,34.98698,0.722528,48.536895751953125,0.5317090153694153
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0004,30,16,0.3,0.001,32,sigmoid,39.617096,0.78308344,35.536502838134766,0.6917486190795898
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0005,30,16,0.3,0.001,32,sigmoid,35.517986,0.6946947,41.259254455566406,0.4552673101425171
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0006,30,16,0.3,0.001,32,sigmoid,44.603077,0.68900245,41.12844467163086,0.8937885761260986
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0007,30,16,0.3,0.001,32,sigmoid,41.139828,0.77841526,51.1259880065918,0.6071532964706421
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0008,30,16,0.3,0.001,32,sigmoid,33.901005,0.74884117,31.613365173339844,0.45320162177085876
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0009,30,16,0.3,0.001,32,sigmoid,31.891369,0.8577487,44.842041015625,0.4158833920955658
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0010,30,16,0.3,0.001,32,sigmoid,32.85244,0.6902277,28.21353530883789,0.4346170127391815
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0011,30,16,0.3,0.001,32,sigmoid,37.45588,0.7527669,31.272109985351562,0.5054711699485779
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0012,30,16,0.3,0.001,32,sigmoid,36.69246,0.7087781,42.92268753051758,0.5335824489593506
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0013,30,16,0.3,0.001,32,sigmoid,41.063213,0.759135,33.40692138671875,0.6076229810714722
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0014,30,16,0.3,0.001,32,sigmoid,37.080215,0.7161953,42.58259963989258,0.5678386092185974
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0015,30,16,0.3,0.001,32,sigmoid,38.461952,0.7465797,32.94194793701172,0.5718954801559448
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0016,30,16,0.3,0.001,32,sigmoid,36.29,0.5910653,42.9684944152832,0.6728824973106384
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0017,30,16,0.3,0.001,32,sigmoid,41.570915,0.76960444,33.076011657714844,0.6759727597236633
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0018,30,16,0.3,0.001,32,sigmoid,32.539005,0.7742749,39.224369049072266,0.4344828426837921
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0019,30,16,0.3,0.001,32,sigmoid,39.80678,0.8754256,29.734500885009766,0.5504348874092102
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S001,P0020,30,16,0.3,0.001,32,sigmoid,42.623905,0.75415486,30.12405776977539,0.5823144912719727
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0001,30,16,0.3,0.001,32,sigmoid,40.24509,0.7645238,49.47532272338867,0.5510284304618835
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0002,30,16,0.3,0.001,32,sigmoid,42.704205,0.7317196,38.84046936035156,0.5877649188041687
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0003,30,16,0.3,0.001,32,sigmoid,38.0307,0.6874994,40.118350982666016,0.6041204929351807
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0004,30,16,0.3,0.001,32,sigmoid,31.63336,0.6371396,38.99560546875,0.4063967168331146
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0005,30,16,0.3,0.001,32,sigmoid,37.509277,0.7726058,38.84939193725586,0.5042202472686768
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0006,30,16,0.3,0.001,32,sigmoid,29.631382,0.77089036,34.319576263427734,0.41689595580101013
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0007,30,16,0.3,0.001,32,sigmoid,47.701447,0.8617353,42.30960464477539,0.7062394022941589
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0008,30,16,0.3,0.001,32,sigmoid,28.51587,0.620381,33.10394287109375,0.41251009702682495
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0009,30,16,0.3,0.001,32,sigmoid,37.504433,0.78607106,48.17290496826172,0.6702391505241394
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0010,30,16,0.3,0.001,32,sigmoid,28.434679,0.7200117,34.466522216796875,0.3494167625904083
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0011,30,16,0.3,0.001,32,sigmoid,41.44315,0.7281621,47.36213302612305,0.8676918148994446
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0012,30,16,0.3,0.001,32,sigmoid,32.535927,0.6401114,33.51266860961914,0.4516149163246155
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0013,30,16,0.3,0.001,32,sigmoid,41.48406,0.67653406,45.130882263183594,0.6774694323539734
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0014,30,16,0.3,0.001,32,sigmoid,44.194874,0.8469331,41.00447082519531,0.8002814054489136
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0015,30,16,0.3,0.001,32,sigmoid,36.119358,0.75272244,44.96767044067383,0.8033584952354431
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0016,30,16,0.3,0.001,32,sigmoid,36.03071,0.79235536,41.68385696411133,0.6312116980552673
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0017,30,16,0.3,0.001,32,sigmoid,48.80926,0.7899704,42.50913619995117,0.8391081094741821
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0018,30,16,0.3,0.001,32,sigmoid,29.509407,0.74568146,29.77564239501953,0.4074556529521942
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0019,30,16,0.3,0.001,32,sigmoid,32.639046,0.6762679,38.045326232910156,0.6397205591201782
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0020,30,16,0.3,0.001,32,sigmoid,39.9646,0.80961454,30.711233139038086,0.5039679408073425
