model,dataset,target,horizon,store,product,lookback,lstm_units,dropout,lr,batch_size,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.486614,0.85587126,39.14619827270508,0.47069621086120605
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,29.484097,0.6495944,33.73303985595703,0.42862409353256226
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.240692,0.7300741,49.52546691894531,0.5418204069137573
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,39.740208,0.78336716,35.75580978393555,0.696344256401062
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,34.50156,0.6683294,39.260257720947266,0.4317905604839325
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,46.603794,0.74296755,43.07624435424805,0.9245800971984863
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.632793,0.79482895,52.20601272583008,0.6248354315757751
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.81664,0.74420404,31.628211975097656,0.45124515891075134
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,31.565746,0.8498315,44.409183502197266,0.4153214395046234
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.558525,0.7105945,28.936983108520508,0.44997331500053406
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.83206,0.7606351,31.433351516723633,0.5138227343559265
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.30925,0.70285946,42.90244674682617,0.5379483699798584
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S001,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,44.579308,0.8564445,37.923030853271484,0.6624752879142761
