model,dataset,target,horizon,store,product,lookback,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0001,14,34.244736,0.8273809,38.29739761352539,0.4649305045604706
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0002,14,30.72513,0.6871203,35.80968475341797,0.4448607861995697
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0003,14,35.717297,0.7400679,49.69287109375,0.5468297600746155
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0004,14,40.645756,0.79897827,36.7254638671875,0.7008833289146423
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0005,14,35.956512,0.7096465,43.047672271728516,0.4665999114513397
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0006,14,46.959663,0.72858655,42.52477264404297,0.8995230793952942
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0007,14,41.916573,0.80052227,51.78280258178711,0.6207314729690552
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0008,14,34.5402,0.7590966,32.0240478515625,0.4573851227760315
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0009,14,32.233925,0.870958,44.69447326660156,0.4199431240558624
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0010,14,34.312363,0.7149665,28.40749740600586,0.43917807936668396
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0011,14,39.351685,0.80395085,32.38571548461914,0.5259947776794434
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0012,14,38.593758,0.7499355,44.3166389465332,0.54047691822052
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0013,14,42.664894,0.80257106,36.28893280029297,0.6355159282684326
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0014,14,39.150204,0.76094544,44.19306182861328,0.5749306678771973
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0015,14,40.342804,0.796139,35.08772277832031,0.6030359864234924
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0016,14,37.519775,0.6255918,45.83454895019531,0.7072034478187561
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0017,14,43.149117,0.7927648,34.682762145996094,0.6780610680580139
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0018,14,33.557125,0.7979194,39.50733947753906,0.4375057518482208
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0019,14,39.771023,0.8765131,30.013822555541992,0.5586540102958679
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S001,P0020,14,44.119556,0.7880335,31.776084899902344,0.6135273575782776
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0001,14,40.654373,0.7755498,49.643009185791016,0.5553091168403625
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0002,14,46.1102,0.79861575,42.28286361694336,0.637340247631073
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0003,14,40.464462,0.75197446,44.043548583984375,0.6449190974235535
LSTM-EntityEmbedding-Optuna,retail_inventory_daily,Units Sold,7,S002,P0004,14,33.40005,0.6792291,40.61698532104492,0.4249885678291321
