model,store,product,horizon,smape,mase,rmse,rmsle
MNaive,S001,P0001,7,38.0762,0.764,40.9863,0.4967
MNaive,S001,P0002,7,30.2981,0.6881,34.212,0.4196
MNaive,S001,P0003,7,34.5324,0.678,49.1504,0.5491
MNaive,S001,P0004,7,43.406,0.909,39.422,0.7302
MNaive,S001,P0005,7,37.0662,1.0629,42.1915,0.4461
MNaive,S001,P0006,7,52.7009,1.3502,46.8122,0.8956
MNaive,S001,P0007,7,42.3784,0.7547,52.5452,0.6197
MNaive,S001,P0008,7,36.4703,0.8238,33.1172,0.4669
MNaive,S001,P0009,7,33.2311,1.1787,46.0692,0.4365
MNaive,S001,P0010,7,37.5972,1.0539,31.5593,0.5016
MNaive,S001,P0011,7,38.8418,0.8018,32.9775,0.5172
MNaive,S001,P0012,7,37.9532,0.6064,45.024,0.5503
MNaive,S001,P0013,7,45.8343,0.85,36.2887,0.6309
MNaive,S001,P0014,7,35.8777,0.843,42.9073,0.5494
MNaive,S001,P0015,7,44.3839,0.7635,37.8519,0.6212
MNaive,S001,P0016,7,37.0798,0.9282,44.3313,0.6602
MNaive,S001,P0017,7,46.8959,0.7733,36.8371,0.7152
MNaive,S001,P0018,7,34.3514,1.0428,41.5359,0.4428
MNaive,S001,P0019,7,45.3212,0.9337,33.7285,0.6109
MNaive,S001,P0020,7,44.0384,0.9743,32.1795,0.5954
MNaive,S002,P0001,7,42.1947,0.6228,51.6593,0.5671
MNaive,S002,P0002,7,46.1061,0.8632,43.1935,0.6433
MNaive,S002,P0003,7,39.7531,0.8646,41.9873,0.6013
MNaive,S002,P0004,7,35.6099,0.7935,43.2119,0.4471
MNaive,S002,P0005,7,39.4123,0.874,41.9368,0.5241
MNaive,S002,P0006,7,30.9259,0.8163,35.4166,0.4297
MNaive,S002,P0007,7,52.2219,1.0269,48.3196,0.7538
MNaive,S002,P0008,7,31.0333,0.9631,35.1143,0.4152
MNaive,S002,P0009,7,37.3763,0.9221,48.7238,0.6686
MNaive,S002,P0010,7,28.5232,0.7824,34.9509,0.3483
MNaive,S002,P0011,7,44.0513,0.5878,47.4466,0.8452
MNaive,S002,P0012,7,37.2124,0.8273,37.5142,0.4923
MNaive,S002,P0013,7,40.2737,0.8494,43.3737,0.6409
MNaive,S002,P0014,7,46.8697,0.8635,44.826,0.8149
MNaive,S002,P0015,7,36.5983,0.6293,44.8046,0.7993
MNaive,S002,P0016,7,35.4767,0.7697,41.4511,0.6445
MNaive,S002,P0017,7,53.8958,0.7564,46.0091,0.8402
MNaive,S002,P0018,7,29.8751,0.5525,30.6394,0.413
MNaive,S002,P0019,7,33.1412,0.5259,38.6907,0.6519
MNaive,S002,P0020,7,43.1153,1.0823,33.7227,0.5341
MNaive,S003,P0001,7,51.6791,0.6456,45.1665,0.9476
MNaive,S003,P0002,7,38.3471,0.9617,44.4649,0.6812
MNaive,S003,P0003,7,36.3829,0.6865,36.8552,0.5028
MNaive,S003,P0004,7,39.7569,0.6877,51.8245,0.7369
MNaive,S003,P0005,7,51.5352,0.7991,48.2301,0.8606
MNaive,S003,P0006,7,48.1597,1.0433,42.0615,0.685
MNaive,S003,P0007,7,37.3287,0.7271,48.033,0.5194
MNaive,S003,P0008,7,31.4587,0.7047,40.0746,0.3792
MNaive,S003,P0009,7,39.277,1.1233,42.442,0.4923
MNaive,S003,P0010,7,31.9421,0.7299,35.4814,0.5172
MNaive,S003,P0011,7,44.7752,0.8292,43.7881,0.9438
MNaive,S003,P0012,7,43.4785,0.9045,34.3878,0.6712
MNaive,S003,P0013,7,37.1779,0.6268,41.2321,0.8272
MNaive,S003,P0014,7,36.7552,0.6975,48.4513,0.4706
MNaive,S003,P0015,7,40.4206,0.8964,48.3397,0.807
MNaive,S003,P0016,7,37.7653,0.7419,44.5554,0.5104
MNaive,S003,P0017,7,47.368,0.8665,35.0726,0.748
MNaive,S003,P0018,7,40.9604,1.1007,32.5244,0.5484
MNaive,S003,P0019,7,27.7256,0.8767,31.0794,0.3728
MNaive,S003,P0020,7,32.5077,0.59,46.1166,0.4077
MNaive,S004,P0001,7,39.2212,0.6999,47.8256,0.7928
MNaive,S004,P0002,7,43.0005,0.8795,45.053,0.7669
MNaive,S004,P0003,7,44.5394,1.0812,41.8505,0.6349
MNaive,S004,P0004,7,40.8718,0.9365,51.331,0.7476
MNaive,S004,P0005,7,30.935,0.6523,33.7039,0.4091
MNaive,S004,P0006,7,37.746,1.0626,46.7531,0.5343
MNaive,S004,P0007,7,43.6939,0.8972,53.8591,0.7486
MNaive,S004,P0008,7,41.7886,0.8406,29.1237,0.5414
MNaive,S004,P0009,7,37.3437,0.759,43.374,0.8171
MNaive,S004,P0010,7,40.8533,0.7166,48.4664,0.6068
MNaive,S004,P0011,7,36.5859,0.6116,49.9984,0.5117
MNaive,S004,P0012,7,35.3289,0.7497,37.5305,0.4547
MNaive,S004,P0013,7,43.9533,1.1847,52.444,0.6904
MNaive,S004,P0014,7,42.8844,0.9454,35.2917,0.5727
MNaive,S004,P0015,7,44.3006,0.7555,34.1072,0.5672
MNaive,S004,P0016,7,45.219,0.9987,33.9877,0.7369
MNaive,S004,P0017,7,28.2958,0.7266,32.8661,0.3988
MNaive,S004,P0018,7,37.824,0.7349,26.7146,0.5226
MNaive,S004,P0019,7,28.7335,0.8191,35.286,0.4275
MNaive,S004,P0020,7,44.3911,1.2768,33.2609,0.7101
MNaive,S005,P0001,7,38.0865,0.8873,45.5583,0.7435
MNaive,S005,P0002,7,42.3817,1.3012,43.8631,0.5348
MNaive,S005,P0003,7,45.0094,0.9529,40.2842,0.693
MNaive,S005,P0004,7,34.4554,0.6544,41.2086,0.471
MNaive,S005,P0005,7,38.7205,0.8866,44.3539,0.8127
MNaive,S005,P0006,7,37.1204,0.8929,49.3871,0.6922
MNaive,S005,P0007,7,36.6085,0.8394,46.4368,0.5036
MNaive,S005,P0008,7,32.0541,0.8014,35.4724,0.4016
MNaive,S005,P0009,7,39.8469,1.0962,46.6946,0.8218
MNaive,S005,P0010,7,37.2289,0.6495,46.0959,0.5131
MNaive,S005,P0011,7,44.6029,0.7035,45.6363,0.7601
MNaive,S005,P0012,7,44.6652,0.8021,37.8419,0.6222
MNaive,S005,P0013,7,40.763,0.8287,48.2569,0.702
MNaive,S005,P0014,7,41.2176,0.9467,33.5871,0.6706
MNaive,S005,P0015,7,35.3217,0.8742,42.1138,0.6709
MNaive,S005,P0016,7,52.9716,0.8425,45.9565,0.9033
MNaive,S005,P0017,7,51.6952,0.8641,44.1556,0.7709
MNaive,S005,P0018,7,29.9899,0.6818,35.4558,0.375
MNaive,S005,P0019,7,45.9002,1.0216,35.1605,0.6091
MNaive,S005,P0020,7,40.2815,0.7414,32.2746,0.5922
MNaive,S001,P0001,14,41.0779,0.7782,43.3162,0.526
MNaive,S001,P0002,14,30.4236,0.6429,34.893,0.4237
MNaive,S001,P0003,14,33.2514,0.5788,45.8561,0.5497
MNaive,S001,P0004,14,46.6583,0.9139,42.1501,0.7746
MNaive,S001,P0005,14,37.7862,1.0103,43.1584,0.4469
MNaive,S001,P0006,14,53.684,1.1178,47.614,0.9274
MNaive,S001,P0007,14,43.5863,0.7072,54.049,0.6358
MNaive,S001,P0008,14,36.7321,0.6916,33.6979,0.4764
MNaive,S001,P0009,14,34.459,1.0492,47.7549,0.4522
MNaive,S001,P0010,14,39.8979,0.6986,33.5999,0.5333
MNaive,S001,P0011,14,41.1347,1.1124,34.8599,0.549
MNaive,S001,P0012,14,38.1878,0.5947,45.3132,0.5651
MNaive,S001,P0013,14,48.138,0.8404,38.6556,0.6742
MNaive,S001,P0014,14,36.9493,0.7688,43.7345,0.5649
MNaive,S001,P0015,14,45.97,0.8422,39.2571,0.6636
MNaive,S001,P0016,14,38.1086,0.989,44.1017,0.6788
MNaive,S001,P0017,14,47.7381,0.7684,37.6393,0.7476
MNaive,S001,P0018,14,33.6475,0.8717,37.7635,0.4313
MNaive,S001,P0019,14,45.3147,0.8532,33.3035,0.6296
MNaive,S001,P0020,14,45.6374,0.6877,33.3301,0.6272
MNaive,S002,P0001,14,43.0429,0.728,52.368,0.5779
MNaive,S002,P0002,14,48.1246,1.0061,45.4218,0.6774
MNaive,S002,P0003,14,39.6512,0.7223,42.4247,0.6165
MNaive,S002,P0004,14,36.8078,0.9093,44.3199,0.4593
MNaive,S002,P0005,14,39.983,0.7121,41.0897,0.5264
MNaive,S002,P0006,14,31.006,0.6798,34.6458,0.4374
MNaive,S002,P0007,14,54.2744,0.9251,49.2919,0.7878
MNaive,S002,P0008,14,32.3586,0.5818,36.6941,0.4344
MNaive,S002,P0009,14,34.8485,0.7233,42.3177,0.4542
MNaive,S002,P0010,14,29.1541,0.8766,35.893,0.355
MNaive,S002,P0011,14,44.7963,0.605,48.1991,0.8664
