model,store,product,horizon,smape,mase
Naive,S001,P0001,7,60.0777,1.3053
Naive,S001,P0002,7,32.8349,0.7636
Naive,S001,P0003,7,58.7547,1.0639
Naive,S001,P0004,7,55.0201,1.0409
Naive,S001,P0005,7,38.5797,0.7905
Naive,S001,P0006,7,58.9342,0.8567
Naive,S001,P0007,7,74.6097,1.363
Naive,S001,P0008,7,51.8604,1.2334
Naive,S001,P0009,7,39.1645,1.0882
Naive,S001,P0010,7,36.4266,0.7875
Naive,S001,P0011,7,50.6243,1.0783
Naive,S001,P0012,7,59.2167,1.2088
Naive,S001,P0013,7,53.5503,1.0374
Naive,S001,P0014,7,38.5088,0.7026
Naive,S001,P0015,7,43.3798,0.8663
Naive,S001,P0016,7,51.6247,0.8539
Naive,S001,P0017,7,43.8608,0.8339
Naive,S001,P0018,7,35.8282,0.8437
Naive,S001,P0019,7,47.2784,1.0078
Naive,S001,P0020,7,43.7955,0.7924
Naive,S002,P0001,7,51.4041,0.8788
Naive,S002,P0002,7,56.9521,0.9986
Naive,S002,P0003,7,46.3582,0.8266
Naive,S002,P0004,7,43.8146,0.8688
Naive,S002,P0005,7,48.5345,1.0436
Naive,S002,P0006,7,36.115,0.9623
Naive,S002,P0007,7,55.5212,1.0232
Naive,S002,P0008,7,51.1298,1.0835
Naive,S002,P0009,7,55.6983,1.1972
Naive,S002,P0010,7,38.1871,0.9619
Naive,S002,P0011,7,54.1355,1.0017
Naive,S002,P0012,7,39.3816,0.7963
Naive,S002,P0013,7,43.1914,0.8049
Naive,S002,P0014,7,58.5889,1.2555
Naive,S002,P0015,7,65.145,1.1833
Naive,S002,P0016,7,45.4428,1.0934
Naive,S002,P0017,7,63.1014,1.0128
Naive,S002,P0018,7,37.7721,0.954
Naive,S002,P0019,7,38.106,0.7742
Naive,S002,P0020,7,49.4463,1.1088
Naive,S003,P0001,7,58.5348,1.1728
Naive,S003,P0002,7,42.0451,0.7638
Naive,S003,P0003,7,34.9747,0.8118
Naive,S003,P0004,7,51.6521,0.9872
Naive,S003,P0005,7,60.1549,0.991
Naive,S003,P0006,7,41.02,0.8236
Naive,S003,P0007,7,49.3597,0.9981
Naive,S003,P0008,7,40.353,0.9385
Naive,S003,P0009,7,36.142,0.8807
Naive,S003,P0010,7,41.6351,0.8677
Naive,S003,P0011,7,47.8827,0.893
Naive,S003,P0012,7,48.1742,1.0164
Naive,S003,P0013,7,45.9402,0.7922
Naive,S003,P0014,7,42.8756,0.9621
Naive,S003,P0015,7,59.7971,0.8396
Naive,S003,P0016,7,50.125,1.1952
Naive,S003,P0017,7,50.9527,1.0542
Naive,S003,P0018,7,47.7248,0.9618
Naive,S003,P0019,7,37.7678,0.8001
Naive,S003,P0020,7,36.9658,0.8722
Naive,S004,P0001,7,43.5182,0.8335
Naive,S004,P0002,7,65.2996,0.969
Naive,S004,P0003,7,47.1215,1.0023
Naive,S004,P0004,7,59.68,1.0627
Naive,S004,P0005,7,45.001,1.1143
