model,store,product,horizon,smape,mase,rmse,rmsle
Prophet,S001,P0001,7,43.0397,0.8713,46.3987,0.5615
Prophet,S001,P0002,7,34.473,0.7876,38.1213,0.4575
Prophet,S001,P0003,7,37.2081,0.7196,50.706,0.5603
Prophet,S001,P0004,7,52.9231,1.0824,47.7448,1.0467
Prophet,S001,P0005,7,38.7735,1.1423,47.828,0.5069
Prophet,S001,P0006,7,64.1128,1.4586,50.0693,1.3358
Prophet,S001,P0007,7,49.1181,0.8778,61.7577,0.7065
Prophet,S001,P0008,7,44.3783,0.9846,39.9006,0.6454
Prophet,S001,P0009,7,39.3609,1.3804,51.0686,0.4807
Prophet,S001,P0010,7,44.1794,1.1796,34.0305,0.7028
Prophet,S001,P0011,7,41.1217,0.8552,36.677,0.6193
Prophet,S001,P0012,7,44.4283,0.7238,54.5198,0.6232
Prophet,S001,P0013,7,56.9638,0.9761,42.9937,1.044
Prophet,S001,P0014,7,42.6878,1.0139,51.1143,0.643
Prophet,S001,P0015,7,51.9571,0.851,42.0621,0.84
Prophet,S001,P0016,7,44.8186,1.1238,51.9737,0.7119
Prophet,S001,P0017,7,60.6049,0.9126,44.4147,1.3744
Prophet,S001,P0018,7,38.7184,1.1518,45.0011,0.4972
Prophet,S001,P0019,7,48.3506,0.9465,36.1635,0.8383
Prophet,S001,P0020,7,55.8711,1.1781,37.7028,0.9689
Prophet,S002,P0001,7,52.9658,0.7722,63.0231,0.8334
Prophet,S002,P0002,7,57.6694,1.0192,50.9894,1.1112
Prophet,S002,P0003,7,43.593,0.9262,44.7682,0.6414
Prophet,S002,P0004,7,41.7154,0.9398,52.2628,0.5492
Prophet,S002,P0005,7,45.4376,1.0317,48.0219,0.599
Prophet,S002,P0006,7,37.2629,0.9916,43.0905,0.51
Prophet,S002,P0007,7,60.9655,1.1358,52.2521,0.9992
Prophet,S002,P0008,7,34.9997,1.0755,38.6204,0.4594
Prophet,S002,P0009,7,43.2611,1.0791,54.4161,0.7202
Prophet,S002,P0010,7,33.7483,0.9372,40.6942,0.4141
Prophet,S002,P0011,7,49.7035,0.6801,56.44,0.9355
Prophet,S002,P0012,7,44.2288,0.9296,42.5366,0.6659
Prophet,S002,P0013,7,45.693,0.9531,50.0239,0.6753
Prophet,S002,P0014,7,66.009,1.1722,56.3624,0.9437
Prophet,S002,P0015,7,41.9256,0.7346,51.5498,0.8492
Prophet,S002,P0016,7,39.1793,0.8607,45.1563,0.6738
Prophet,S002,P0017,7,63.2423,0.8577,54.2704,1.3666
Prophet,S002,P0018,7,34.621,0.6254,34.2348,0.4575
Prophet,S002,P0019,7,39.8808,0.6332,45.9256,0.7089
Prophet,S002,P0020,7,52.807,1.3324,41.6055,0.7531
Prophet,S003,P0001,7,61.8308,0.7883,56.4868,1.1977
Prophet,S003,P0002,7,45.4925,1.1282,51.6412,0.7728
Prophet,S003,P0003,7,41.8761,0.8033,43.4547,0.5458
Prophet,S003,P0004,7,46.8211,0.8048,59.7448,0.7593
Prophet,S003,P0005,7,69.1406,1.0388,60.7668,1.3257
Prophet,S003,P0006,7,46.7816,0.9101,40.309,1.0194
Prophet,S003,P0007,7,45.1647,0.8936,54.6274,0.6015
Prophet,S003,P0008,7,36.6515,0.8325,46.452,0.4493
Prophet,S003,P0009,7,48.4929,1.2558,48.6376,0.9017
Prophet,S003,P0010,7,34.4318,0.7955,38.1949,0.5364
