model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S001,P0001,7,60.0777,1.1314,59.3778,0.8057
SARIMAX,S001,P0002,7,32.8349,0.7667,38.5163,0.4645
SARIMAX,S001,P0003,7,58.7547,0.995,71.3382,0.8283
SARIMAX,S001,P0004,7,55.0201,1.081,46.4648,0.8251
SARIMAX,S001,P0005,7,38.5797,1.1605,48.111,0.5106
SARIMAX,S001,P0006,7,58.9342,1.3867,47.6545,1.4981
SARIMAX,S001,P0007,7,74.6097,1.3221,92.9049,1.1372
SARIMAX,S001,P0008,7,51.8604,1.2545,47.6079,0.6427
SARIMAX,S001,P0009,7,39.1645,1.447,57.3198,0.5345
SARIMAX,S001,P0010,7,36.4266,1.0192,30.3094,0.4645
SARIMAX,S001,P0011,7,50.6243,1.1275,46.2594,0.6545
SARIMAX,S001,P0012,7,59.2167,1.0,72.8668,0.8044
SARIMAX,S001,P0013,7,53.5503,1.0281,43.1785,0.6879
SARIMAX,S001,P0014,7,38.5088,0.8878,45.2211,0.5474
SARIMAX,S001,P0015,7,43.3798,0.7829,41.2718,0.6024
SARIMAX,S001,P0016,7,51.6247,1.2916,57.775,0.8588
SARIMAX,S001,P0017,7,43.8608,0.739,35.8104,0.61
SARIMAX,S001,P0018,7,35.8282,1.1128,42.5425,0.4629
SARIMAX,S001,P0019,7,47.2784,0.9757,37.0175,0.6427
SARIMAX,S001,P0020,7,43.7955,0.9921,33.5314,0.5841
SARIMAX,S002,P0001,7,51.4041,0.7107,57.4749,0.6882
SARIMAX,S002,P0002,7,56.9521,1.0751,53.5712,0.7795
SARIMAX,S002,P0003,7,46.3582,1.0227,50.1161,0.6562
SARIMAX,S002,P0004,7,43.8146,0.9723,53.8212,0.6037
SARIMAX,S002,P0005,7,48.5345,1.1241,54.0994,0.6405
SARIMAX,S002,P0006,7,36.115,0.9824,41.1028,0.4711
SARIMAX,S002,P0007,7,55.5212,1.129,53.8655,0.7745
SARIMAX,S002,P0008,7,51.1298,1.5339,55.518,0.6932
SARIMAX,S002,P0009,7,55.6983,1.4564,74.7725,0.858
SARIMAX,S002,P0010,7,38.1871,1.069,48.8591,0.4905
SARIMAX,S002,P0011,7,54.1355,0.7984,67.7049,0.9625
SARIMAX,S002,P0012,7,39.3816,0.8778,39.9967,0.4987
SARIMAX,S002,P0013,7,43.1914,1.0168,57.3455,0.74
SARIMAX,S002,P0014,7,58.5889,1.2225,66.2859,0.9897
SARIMAX,S002,P0015,7,65.145,0.9763,66.6217,1.5786
SARIMAX,S002,P0016,7,45.4428,1.0921,57.6988,0.7616
SARIMAX,S002,P0017,7,63.1014,0.8958,55.3276,0.9871
SARIMAX,S002,P0018,7,37.7721,0.6896,39.6926,0.5076
SARIMAX,S002,P0019,7,38.106,0.6024,44.9592,0.7168
SARIMAX,S002,P0020,7,49.4463,1.3994,47.2584,0.6887
SARIMAX,S003,P0001,7,58.5348,0.8749,68.1176,1.0472
SARIMAX,S003,P0002,7,42.0451,1.1052,50.2338,0.7293
