model,store,product,horizon,smape,mase
SNaive,S001,P0001,7,52.6184,1.2357
SNaive,S001,P0002,7,45.2455,1.0268
SNaive,S001,P0003,7,51.6423,1.0623
SNaive,S001,P0004,7,51.1517,1.0192
SNaive,S001,P0005,7,41.8805,0.8488
SNaive,S001,P0006,7,57.18,0.8745
SNaive,S001,P0007,7,59.0386,1.1108
SNaive,S001,P0008,7,44.0018,1.0179
SNaive,S001,P0009,7,40.8077,1.0728
SNaive,S001,P0010,7,45.2732,1.0008
SNaive,S001,P0011,7,48.9205,1.015
SNaive,S001,P0012,7,52.6935,1.0305
SNaive,S001,P0013,7,49.2408,0.9278
SNaive,S001,P0014,7,51.4841,0.9587
SNaive,S001,P0015,7,51.6819,0.9931
SNaive,S001,P0016,7,50.2836,0.8315
SNaive,S001,P0017,7,53.9039,0.9652
SNaive,S001,P0018,7,43.1667,0.9915
SNaive,S001,P0019,7,49.3399,1.0649
SNaive,S001,P0020,7,54.6238,0.9922
SNaive,S002,P0001,7,56.5064,1.0612
SNaive,S002,P0002,7,56.3556,0.989
SNaive,S002,P0003,7,49.9284,0.8704
SNaive,S002,P0004,7,43.0975,0.8595
SNaive,S002,P0005,7,51.9034,1.1078
SNaive,S002,P0006,7,44.7825,1.1584
SNaive,S002,P0007,7,62.5246,1.1151
SNaive,S002,P0008,7,41.0504,0.9208
SNaive,S002,P0009,7,47.9514,0.9847
SNaive,S002,P0010,7,39.7702,0.9987
SNaive,S002,P0011,7,67.2188,1.1307
SNaive,S002,P0012,7,43.8118,0.8824
SNaive,S002,P0013,7,44.94,0.7524
SNaive,S002,P0014,7,60.307,1.1004
SNaive,S002,P0015,7,54.0428,1.0602
SNaive,S002,P0016,7,49.8002,1.076
SNaive,S002,P0017,7,60.996,0.9604
SNaive,S002,P0018,7,39.9991,1.0151
SNaive,S002,P0019,7,49.1108,0.9905
SNaive,S002,P0020,7,50.1704,1.0364
SNaive,S003,P0001,7,68.1929,1.238
SNaive,S003,P0002,7,52.1033,0.9139
SNaive,S003,P0003,7,41.5266,0.954
SNaive,S003,P0004,7,58.4669,1.1326
SNaive,S003,P0005,7,60.5566,1.0225
SNaive,S003,P0006,7,52.5032,1.0483
SNaive,S003,P0007,7,45.9506,0.8763
SNaive,S003,P0008,7,39.5972,0.9675
SNaive,S003,P0009,7,44.5936,1.0821
SNaive,S003,P0010,7,44.9235,0.9643
SNaive,S003,P0011,7,62.1426,1.1472
SNaive,S003,P0012,7,48.3838,1.0244
SNaive,S003,P0013,7,55.1598,0.9131
SNaive,S003,P0014,7,48.1919,1.0538
SNaive,S003,P0015,7,59.9518,0.9889
SNaive,S003,P0016,7,46.1607,0.9523
SNaive,S003,P0017,7,56.3144,1.067
SNaive,S003,P0018,7,42.0873,0.8674
SNaive,S003,P0019,7,35.7609,0.8214
SNaive,S003,P0020,7,43.5281,1.0556
SNaive,S004,P0001,7,55.4176,1.0138
SNaive,S004,P0002,7,57.985,0.8945
SNaive,S004,P0003,7,62.0983,1.292
SNaive,S004,P0004,7,50.0097,0.9644
SNaive,S004,P0005,7,38.2475,0.948
SNaive,S004,P0006,7,42.6351,0.7786
SNaive,S004,P0007,7,60.2748,1.141
SNaive,S004,P0008,7,47.8314,1.03
SNaive,S004,P0009,7,48.2957,1.0063
SNaive,S004,P0010,7,59.4624,1.0652
SNaive,S004,P0011,7,47.0945,1.0625
SNaive,S004,P0012,7,43.5912,1.1674
SNaive,S004,P0013,7,58.5402,1.0433
SNaive,S004,P0014,7,48.1673,0.9116
SNaive,S004,P0015,7,49.0651,0.9081
SNaive,S004,P0016,7,55.7317,1.0511
SNaive,S004,P0017,7,41.89,1.0287
SNaive,S004,P0018,7,45.6022,0.9192
SNaive,S004,P0019,7,38.0604,0.9443
SNaive,S004,P0020,7,54.4385,1.0158
SNaive,S005,P0001,7,52.7305,0.929
SNaive,S005,P0002,7,50.1162,1.099
SNaive,S005,P0003,7,54.7085,1.0121
SNaive,S005,P0004,7,45.2992,1.0301
SNaive,S005,P0005,7,50.7505,0.9776
SNaive,S005,P0006,7,49.2101,0.9975
SNaive,S005,P0007,7,43.679,0.8895
SNaive,S005,P0008,7,37.9313,0.8342
SNaive,S005,P0009,7,52.3244,1.0216
SNaive,S005,P0010,7,47.9957,0.9085
